Season,Germany,England,Spain,Italy
1997,30.9,28.4,24.2,29.5
1998,31.1,29.2,23.4,31.2
1999,30.9,30.6,22.4,30.7
2000,28.9,30.7,23.1,29.7
2001,28.4,32.8,21.4,29.1
2002,31.1,34.3,23.2,25.9
2003,31.9,35.4,25,25.5
2004,35,35,25.2,25.7
2005,35.2,33.9,24.6,25
2006,38.2,33.9,25.7,21.4
2007,37.6,34.4,25.7,18.8
2008,39,36.1,25.3,23.1
2009,41.9,35.7,24.6,24.7
2010,41.8,34.2,25.3,24.1
2011,42.1,35.4,25.9,23.5
2012,44.3,34.6,26.1,22
2013,42.62,35.92,28.25,23.27
2014,43.5,36.63,26.84,23.39
2015,43.54,36.18,27.02,22.21
2016,43.3,36.45,28.17,22.64
2017,41.51,35.82,27.63,22.16
2018,43.88,38.5,26.77,23.85
